model,step,date,ret,mu_max,eps_max,epsilon,epsilon_fraction,status,status_code,status_description
MinVar,0,2021-01-04,-0.011868625289822257,0.001249063683821806,0.00031898370239258757,0.0,,optimal,2,Solucion optima
MinVar,1,2021-01-05,0.006387861989785014,0.001203773662431662,0.00036866443122684524,0.0,,optimal,2,Solucion optima
MinVar,2,2021-01-06,-0.002232249827991916,0.0013035875673493476,0.00040028686321375413,0.0,,optimal,2,Solucion optima
MinVar,3,2021-01-07,-0.0011777057261795256,0.0014036505493273928,0.00038559596940025416,0.0,,optimal,2,Solucion optima
MinVar,4,2021-01-08,-0.0019066603060912978,0.0014765849772395384,0.00036124543768469665,0.0,,optimal,2,Solucion optima
MinVar,5,2021-01-12,0.009410582385599869,0.001615836246331881,0.0003837611085038217,0.0,,optimal,2,Solucion optima
MinVar,6,2021-01-13,-0.0018983567082689508,0.0016498987212977179,0.000391850946308208,0.0,,optimal,2,Solucion optima
MinVar,7,2021-01-14,0.005740397650082065,0.0015994215219200577,0.00037986261145601366,0.0,,optimal,2,Solucion optima
MinVar,8,2021-01-15,0.0016336556688526,0.0015546280307539829,0.000369224157304071,0.0,,optimal,2,Solucion optima
MinVar,9,2021-01-18,-0.002694484640417635,0.001495602125651222,0.0003552055048421653,0.0,,optimal,2,Solucion optima
MinVar,10,2021-01-19,0.007594657904193041,0.0013741120504675963,0.0003263516119860542,0.0,,optimal,2,Solucion optima
MinVar,11,2021-01-20,0.003349113224139177,0.0015496389561687064,0.0003680392520900678,0.0,,optimal,2,Solucion optima
MinVar,12,2021-01-21,-0.007327436196496008,0.0015682881267499048,0.0003729461758547554,0.0,,optimal,2,Solucion optima
MinVar,13,2021-01-22,0.002906837039120326,0.0014225997964628979,0.0003554434456417519,0.0,,optimal,2,Solucion optima
MinVar,14,2021-01-25,-0.010151527416102745,0.0012241748887522783,0.00034273541179232256,0.0,,optimal,2,Solucion optima
MinVar,15,2021-01-26,-0.0005354432307078653,0.0012470202374464433,0.0002961673063935303,0.0,,optimal,2,Solucion optima
MinVar,16,2021-01-27,-0.006796816341615279,0.0012442455741150731,0.0002957385399095921,0.0,,optimal,2,Solucion optima
MinVar,17,2021-01-28,0.0028391109183241465,0.0011446800605172316,0.0002718615143728424,0.0,,optimal,2,Solucion optima
MinVar,18,2021-01-29,-0.017462218952571974,0.0011307299691256198,0.00026854836766733464,0.0,,optimal,2,Solucion optima
MinVar,19,2021-02-01,0.0006265857787857067,0.0011715540782081839,0.00027824409357444363,0.0,,optimal,2,Solucion optima
MinVar,20,2021-02-02,-0.000701177400575358,0.001066720587886504,0.0002533461396230447,0.0,,optimal,2,Solucion optima
MinVar,21,2021-02-03,0.001351987569314418,0.001022003881077545,0.00024272592175591688,0.0,,optimal,2,Solucion optima
