model,expected_return,std_dev,variance,cvar,sharpe,obj_value,status,solve_time,mu_max,epsilon,eps_max,target_return,tau,lambda,z,num_nonzero,max_weight,top_idx
2-WDRO-Markowitz,0.00528174485168512,0.021267069461336763,0.021267069461336763,,0.24835320453000156,0.0224046788807673,optimal,0.006999969482421875,0.005525513292410342,0.0013123094069474562,0.0013123094069474562,0.004144134969307756,,,,2,0.8545940574563331,16
1-WDRO-CVaR,0.005281743445898934,0.021267049680224644,,0.0261995200516676,0.24835336942905675,0.0670541760373285,optimal,0.02499985694885254,0.005525513292410342,0.0013123094069474562,0.0013123094069474562,0.004144134969307756,0.0261995200516676,17.337503798261164,,2,0.8545931436602751,16
2-WDRO-CVaR,0.005415954668861412,0.023858285534917877,,35089.0,0.2270051911707936,2.413821020768566e-10,optimal,0.05500006675720215,0.005525513292410342,0.0013123094069474562,0.0013123094069474562,0.004144134969307756,35089.0,0.00014016274073974294,6666.761867047514,20,0.9665666333220898,16
SAA-Markowitz,0.004144134973554375,0.012610191653497015,0.00015901693353792578,,0.32863378189855963,0.012610197072150994,optimal,0.0,0.005525513292410342,0.0,0.0013123094069474562,0.004144134969307756,,,,11,0.3764864152093253,16
MinVar,,0.006405291494768058,4.1027759132948016e-05,,,,optimal,0.0009999275207519531,0.005525513292410342,0.0,0.0013123094069474562,0.004144134969307756,,,,20,0.2655480752502165,18
EqualWeight,0.0014130335762506487,0.008309584522415151,,,,,optimal,0.0,0.005525513292410342,0.0,0.0013123094069474562,0.004144134969307756,,,,20,0.05,0
